customer_id,customer_name,email,phone,city,state,registration_date,status
C0001,Customer 001,customer001@example.com,9000000001,Salem,Tamil Nadu,2026-01-13,INACTIVE
C0002,Customer 002,customer002@example.com,9000000002,Madurai,Tamil Nadu,2025-10-20,ACTIVE
C0003,Customer 003,customer003@example.com,9000000003,Madurai,Tamil Nadu,2026-01-18,ACTIVE
C0004,Customer 004,customer004@example.com,9000000004,Trichy,Tamil Nadu,2025-12-16,ACTIVE
C0005,Customer 005,customer005@example.com,9000000005,Trichy,Tamil Nadu,2025-11-30,ACTIVE
C0006,Customer 006,customer006@example.com,9000000006,Chennai,Tamil Nadu,2025-07-06,ACTIVE
C0007,Customer 007,customer007@example.com,9000000007,Madurai,Tamil Nadu,2025-04-26,ACTIVE
C0008,Customer 008,customer008@example.com,9000000008,Chennai,Tamil Nadu,2025-09-14,ACTIVE
C0009,Customer 009,customer009@example.com,9000000009,Madurai,Tamil Nadu,2025-08-30,INACTIVE
C0010,Customer 010,customer010@example.com,9000000010,Chennai,Tamil Nadu,2025-08-26,ACTIVE
C0011,Customer 011,customer011@example.com,9000000011,Coimbatore,Tamil Nadu,2025-09-17,ACTIVE
C0012,Customer 012,customer012@example.com,9000000012,Coimbatore,Tamil Nadu,2025-10-07,INACTIVE
C0013,Customer 013,customer013@example.com,9000000013,Coimbatore,Tamil Nadu,2026-03-24,ACTIVE
C0014,Customer 014,customer014@example.com,9000000014,Madurai,Tamil Nadu,2025-01-31,INACTIVE
C0015,Customer 015,customer015@example.com,9000000015,Coimbatore,Tamil Nadu,2025-09-03,INACTIVE
C0016,Customer 016,customer016@example.com,9000000016,Trichy,Tamil Nadu,2025-02-21,ACTIVE
C0017,Customer 017,customer017@example.com,9000000017,Salem,Tamil Nadu,2025-06-23,INACTIVE
C0018,Customer 018,customer018@example.com,9000000018,Madurai,Tamil Nadu,2025-06-29,ACTIVE
C0019,Customer 019,customer019@example.com,9000000019,Madurai,Tamil Nadu,2025-09-05,ACTIVE
C0020,Customer 020,customer020@example.com,9000000020,Chennai,Tamil Nadu,2026-04-21,ACTIVE
C0021,Customer 021,customer021@example.com,9000000021,Salem,Tamil Nadu,2025-02-02,ACTIVE
C0022,Customer 022,customer022@example.com,9000000022,Madurai,Tamil Nadu,2026-02-08,INACTIVE
C0023,Customer 023,customer023@example.com,9000000023,Madurai,Tamil Nadu,2025-07-06,ACTIVE
C0024,Customer 024,customer024@example.com,9000000024,Coimbatore,Tamil Nadu,2025-10-01,ACTIVE
C0025,Customer 025,customer025@example.com,9000000025,Coimbatore,Tamil Nadu,2025-11-22,ACTIVE
C0026,Customer 026,customer026@example.com,9000000026,Madurai,Tamil Nadu,2026-03-23,ACTIVE
C0027,Customer 027,customer027@example.com,9000000027,Madurai,Tamil Nadu,2025-08-09,INACTIVE
C0028,Customer 028,customer028@example.com,9000000028,Madurai,Tamil Nadu,2025-06-14,INACTIVE
C0029,Customer 029,customer029@example.com,9000000029,Salem,Tamil Nadu,2026-01-30,ACTIVE
C0030,Customer 030,customer030@example.com,9000000030,Trichy,Tamil Nadu,2025-07-21,ACTIVE
C0031,Customer 031,customer031@example.com,9000000031,Coimbatore,Tamil Nadu,2025-03-03,INACTIVE
C0032,Customer 032,customer032@example.com,9000000032,Trichy,Tamil Nadu,2026-04-13,ACTIVE
C0033,Customer 033,customer033@example.com,9000000033,Chennai,Tamil Nadu,2025-10-05,ACTIVE
C0034,Customer 034,customer034@example.com,9000000034,Chennai,Tamil Nadu,2026-01-12,ACTIVE
C0035,Customer 035,customer035@example.com,9000000035,Chennai,Tamil Nadu,2025-12-19,INACTIVE
C0036,Customer 036,customer036@example.com,9000000036,Salem,Tamil Nadu,2025-02-23,INACTIVE
C0037,Customer 037,customer037@example.com,9000000037,Trichy,Tamil Nadu,2026-03-12,ACTIVE
C0038,Customer 038,customer038@example.com,9000000038,Trichy,Tamil Nadu,2025-04-11,INACTIVE
C0039,Customer 039,customer039@example.com,9000000039,Madurai,Tamil Nadu,2025-02-04,ACTIVE
C0040,Customer 040,customer040@example.com,9000000040,Trichy,Tamil Nadu,2026-02-22,ACTIVE
C0041,Customer 041,customer041@example.com,9000000041,Trichy,Tamil Nadu,2025-05-27,INACTIVE
C0042,Customer 042,customer042@example.com,9000000042,Chennai,Tamil Nadu,2025-07-10,ACTIVE
C0043,Customer 043,customer043@example.com,9000000043,Chennai,Tamil Nadu,2025-10-09,ACTIVE
C0044,Customer 044,customer044@example.com,9000000044,Coimbatore,Tamil Nadu,2025-10-25,ACTIVE
C0045,Customer 045,customer045@example.com,9000000045,Madurai,Tamil Nadu,2025-10-15,ACTIVE
C0046,Customer 046,customer046@example.com,9000000046,Coimbatore,Tamil Nadu,2025-05-02,ACTIVE
C0047,Customer 047,customer047@example.com,9000000047,Madurai,Tamil Nadu,2025-07-28,ACTIVE
C0048,Customer 048,customer048@example.com,9000000048,Chennai,Tamil Nadu,2025-05-22,INACTIVE
C0049,Customer 049,customer049@example.com,9000000049,Madurai,Tamil Nadu,2025-09-04,ACTIVE
C0050,Customer 050,customer050@example.com,9000000050,Trichy,Tamil Nadu,2025-04-15,INACTIVE
C0051,Customer 051,customer051@example.com,9000000051,Trichy,Tamil Nadu,2025-09-07,ACTIVE
C0052,Customer 052,customer052@example.com,9000000052,Chennai,Tamil Nadu,2025-08-30,INACTIVE
C0053,Customer 053,customer053@example.com,9000000053,Chennai,Tamil Nadu,2025-10-03,ACTIVE
C0054,Customer 054,customer054@example.com,9000000054,Chennai,Tamil Nadu,2026-03-16,ACTIVE
C0055,Customer 055,customer055@example.com,9000000055,Coimbatore,Tamil Nadu,2025-03-31,INACTIVE
C0056,Customer 056,customer056@example.com,9000000056,Chennai,Tamil Nadu,2025-11-06,INACTIVE
C0057,Customer 057,customer057@example.com,9000000057,Salem,Tamil Nadu,2025-12-31,ACTIVE
C0058,Customer 058,customer058@example.com,9000000058,Madurai,Tamil Nadu,2025-04-15,INACTIVE
C0059,Customer 059,customer059@example.com,9000000059,Salem,Tamil Nadu,2026-03-05,INACTIVE
C0060,Customer 060,customer060@example.com,9000000060,Salem,Tamil Nadu,2025-10-07,ACTIVE
C0061,Customer 061,customer061@example.com,9000000061,Salem,Tamil Nadu,2026-02-10,INACTIVE
C0062,Customer 062,customer062@example.com,9000000062,Chennai,Tamil Nadu,2025-07-29,INACTIVE
C0063,Customer 063,customer063@example.com,9000000063,Trichy,Tamil Nadu,2026-02-11,ACTIVE
C0064,Customer 064,customer064@example.com,9000000064,Coimbatore,Tamil Nadu,2026-02-11,ACTIVE
C0065,Customer 065,customer065@example.com,9000000065,Coimbatore,Tamil Nadu,2026-04-10,ACTIVE
C0066,Customer 066,customer066@example.com,9000000066,Chennai,Tamil Nadu,2025-03-10,ACTIVE
C0067,Customer 067,customer067@example.com,9000000067,Salem,Tamil Nadu,2026-04-14,ACTIVE
C0068,Customer 068,customer068@example.com,9000000068,Trichy,Tamil Nadu,2025-11-06,ACTIVE
C0069,Customer 069,customer069@example.com,9000000069,Salem,Tamil Nadu,2025-05-29,INACTIVE
C0070,Customer 070,customer070@example.com,9000000070,Trichy,Tamil Nadu,2025-04-29,ACTIVE
C0071,Customer 071,customer071@example.com,9000000071,Coimbatore,Tamil Nadu,2026-03-26,ACTIVE
C0072,Customer 072,customer072@example.com,9000000072,Salem,Tamil Nadu,2025-01-28,INACTIVE
C0073,Customer 073,customer073@example.com,9000000073,Salem,Tamil Nadu,2025-05-11,ACTIVE
C0074,Customer 074,customer074@example.com,9000000074,Chennai,Tamil Nadu,2025-04-06,INACTIVE
C0075,Customer 075,customer075@example.com,9000000075,Madurai,Tamil Nadu,2025-07-10,ACTIVE
C0076,Customer 076,customer076@example.com,9000000076,Madurai,Tamil Nadu,2025-08-17,INACTIVE
C0077,Customer 077,customer077@example.com,9000000077,Madurai,Tamil Nadu,2025-06-03,ACTIVE
